Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
0,0,0,2,1,0,9,0,4,2,2,0,6,1,5,0,1,12,2,2,1,1,1,0,1,4,4,38,49,0,0,0,0,0,0,2,1,1,4,2,4
0,0,0,2,1,0,3,0,1,0,4,0,12,0,0,1,0,12,2,2,1,1,1,0,1,1,1,38,76,0,0,0,0,0,0,2,1,1,2,2,1
0,0,0,0,1,0,6,0,4,2,4,0,7,3,0,1,1,12,2,2,1,1,1,0,1,4,4,98,76,1,1,0,0,0,0,2,3,1,1,1,1
0,0,0,2,1,1,9,0,0,0,2,0,6,6,1,0,1,37,2,3,1,1,1,0,1,1,1,38,23,0,0,0,1,1,1,2,3,1,2,2,2
1,0,1,2,1,0,5,0,2,1,2,1,0,0,0,0,0,37,1,2,0,1,1,0,1,1,1,45,76,0,1,1,2,0,0,2,3,1,1,1,2
0,0,0,2,1,1,2,0,4,2,4,0,9,3,0,0,1,23,1,1,0,0,0,0,1,1,1,14,23,0,1,1,0,1,0,2,2,1,2,4,3
2,0,0,2,0,0,2,0,2,3,4,0,5,5,1,0,1,12,2,2,1,1,1,0,1,4,4,87,76,0,1,0,2,0,0,2,1,1,3,3,3
1,1,0,2,1,0,2,0,3,1,4,0,13,0,0,1,1,38,1,2,1,2,2,0,0,4,4,105,23,1,0,1,3,1,1,2,2,3,3,3,3
1,1,0,2,1,1,2,0,1,0,4,0,9,3,1,0,1,12,2,2,3,1,1,0,1,4,4,87,76,0,0,1,2,1,1,2,2,1,4,2,3
0,0,0,2,1,0,2,1,4,2,4,0,7,6,1,0,0,12,3,1,0,1,1,0,1,1,1,87,76,0,1,0,1,1,0,0,1,1,1,0,1
0,0,0,1,1,0,5,1,1,2,4,0,7,3,3,0,1,12,2,2,0,1,2,0,1,4,4,87,76,1,0,0,0,0,1,1,2,1,1,1,0
0,0,0,2,1,0,2,0,4,2,4,0,8,4,1,0,1,12,0,1,1,1,1,0,1,1,1,100,18,0,1,0,2,0,0,2,2,1,2,0,2
0,1,0,1,1,0,5,2,4,0,4,0,12,0,0,0,1,12,3,2,1,1,0,0,1,1,4,38,71,0,1,0,1,0,0,0,2,1,3,2,1
1,1,0,2,1,1,2,0,2,3,4,0,9,2,0,0,0,12,1,1,0,0,0,0,0,4,1,64,68,1,1,0,0,1,1,2,2,1,2,1,2
1,1,0,2,1,0,9,0,2,1,4,0,10,2,0,1,1,37,2,2,0,0,0,0,1,4,4,87,68,0,1,0,0,1,1,0,1,3,2,3,3
0,0,0,1,1,0,6,1,1,0,2,1,8,4,1,0,1,11,2,1,1,1,1,0,1,1,1,87,68,0,1,1,2,0,0,1,3,0,1,2,2
1,0,0,1,1,0,8,0,2,1,0,1,1,3,1,0,1,11,0,1,1,1,1,0,0,4,4,78,62,1,1,0,0,0,0,1,1,1,0,0,0
1,0,0,2,0,0,2,0,2,1,2,1,7,6,0,0,1,12,2,2,3,1,1,1,1,4,4,87,76,0,1,0,2,1,0,2,3,0,3,2,2
0,0,0,2,1,0,6,1,3,2,4,0,1,4,3,0,0,37,1,1,0,0,1,0,1,2,3,87,1,0,1,0,2,1,0,2,2,1,3,0,0
0,1,0,2,1,0,2,2,4,2,4,0,11,1,0,0,0,9,2,2,0,1,1,0,1,4,1,87,23,0,0,0,2,1,0,2,0,1,3,3,3
1,1,0,2,1,0,5,1,1,0,4,0,7,1,3,0,1,12,2,2,1,0,0,0,0,4,4,87,76,0,1,0,2,0,0,2,3,1,3,0,0
1,0,0,2,1,0,3,0,1,0,2,0,5,3,2,0,1,12,2,3,0,1,2,0,1,1,1,87,76,0,1,0,2,1,0,2,2,1,2,2,1
1,0,0,2,0,0,3,0,3,3,2,0,10,2,1,1,1,12,2,2,1,1,1,0,0,3,4,87,76,0,1,0,3,1,0,0,2,3,0,2,2
0,1,0,2,1,1,5,0,1,2,4,0,1,3,2,0,1,11,0,1,1,1,1,1,1,1,1,45,76,1,1,0,0,1,0,2,1,0,2,3,3
3,1,0,1,1,0,3,0,5,3,0,3,6,5,1,0,0,12,3,2,0,1,1,0,1,4,4,100,76,1,1,1,2,1,1,1,2,1,1,3,3
2,0,0,2,1,0,3,0,2,3,0,1,1,2,3,0,0,12,1,3,0,1,1,0,1,1,1,100,76,1,1,1,0,0,1,2,3,1,1,2,2
0,1,0,1,1,0,5,1,1,0,0,1,5,3,3,0,0,11,3,3,3,1,1,0,1,1,1,41,23,0,1,0,2,0,0,2,1,1,1,0,2
0,1,0,2,1,0,3,2,4,2,3,1,8,5,0,0,0,12,2,2,0,0,0,0,1,1,1,38,11,0,1,1,0,1,0,2,1,0,2,3,4
0,0,0,2,1,0,2,0,4,2,4,0,6,3,2,0,0,11,1,2,3,1,1,0,1,1,1,38,11,0,1,0,2,1,1,2,2,1,3,3,3
0,1,0,2,1,0,5,2,4,2,4,0,11,0,1,1,1,12,2,1,0,0,0,0,1,4,1,87,27,0,1,0,2,1,0,2,3,3,2,2,4
1,1,0,1,1,0,2,0,1,0,0,1,0,4,4,0,1,37,2,2,0,0,1,0,1,1,4,87,76,0,1,1,2,0,0,0,2,0,2,2,3
1,0,0,2,1,0,8,0,2,3,2,0,8,3,1,0,1,12,2,2,0,2,2,0,1,1,1,14,18,1,1,0,2,1,0,2,3,1,1,2,2
1,0,0,1,1,1,5,0,1,0,4,0,12,0,0,1,0,12,0,0,1,1,0,0,0,4,4,87,68,1,1,1,1,0,0,0,2,1,1,2,2
1,0,0,2,1,1,5,0,2,1,4,0,12,0,0,0,1,12,1,1,2,1,1,0,1,4,4,100,68,0,1,0,0,0,0,2,2,0,4,2,2
0,1,0,1,1,1,2,0,4,2,4,0,8,3,1,1,1,37,2,2,2,0,0,0,1,1,1,87,11,0,0,0,0,1,0,1,1,3,2,4,4
1,1,0,2,1,0,5,0,4,2,2,0,11,1,0,1,0,12,3,3,0,1,1,0,1,1,1,63,23,0,1,0,0,1,0,2,1,1,2,4,4
1,0,0,1,1,1,6,0,3,1,4,0,7,2,0,0,1,12,1,2,0,1,1,0,1,1,1,87,23,0,1,0,2,0,0,2,3,1,3,2,2
0,0,0,2,1,0,6,2,4,2,4,0,6,5,2,0,1,11,3,3,1,1,1,0,1,4,4,87,68,0,1,1,2,0,0,2,2,1,1,2,0
1,0,1,0,1,0,9,0,2,1,0,2,0,0,0,0,0,37,1,2,1,2,1,0,1,4,3,14,76,0,1,1,0,0,0,0,3,1,4,4,3
2,0,0,1,1,1,9,0,3,3,0,3,6,3,2,0,0,12,2,2,3,1,1,0,1,1,1,17,53,0,1,0,0,1,0,2,3,1,1,1,1
1,1,0,0,1,1,8,0,2,1,4,0,9,3,0,0,1,12,0,1,0,1,1,0,1,1,1,87,68,0,1,1,1,1,0,0,1,3,0,1,2
1,0,0,1,1,1,5,0,1,0,4,0,8,4,1,1,1,12,1,1,1,1,1,0,1,4,4,97,3,0,1,1,0,0,0,0,1,0,1,3,3
